品目分類	世帯数分布(抽出率調整)	集計世帯数	世帯人員(人)	18歳未満人員(人)	65歳以上人員(人)	うち無職者人員(人)	有業人員(人)	世帯主の年齢(歳)	持家率(％)	家賃・地代を支払っている世帯の割合(％)	...	聴視・観覧	旅行	スポーツ	月謝	会費・つきあい費	その他の教養娯楽	消費支出(再掲)	基礎的支出	選択的支出	date
0	世帯数分布(抽出率調整)	集計世帯数	世帯人員(人)	18歳未満人員(人)	65歳以上人員(人)	うち無職者人員(人)	有業人員(人)	世帯主の年齢(歳)	持家率(％)	家賃・地代を支払っている世帯の割合(％)	...	聴視・観覧	旅行	スポーツ	月謝	会費・つきあい費	その他の教養娯楽	消費支出(再掲)	基礎的支出	選択的支出	品目分類
1	10000	7887	3.32	0.74	0.52	0.41	1.51	52.4	76	22.1	...	2049	8876	3001	3241	1561	7063	309621	184372	125248	2000-01-01
2	10000	7942	3.32	0.75	0.53	0.41	1.51	52.6	76.3	22	...	2199	9058	2200	3329	1441	6370	290663	170045	120618	2000-02-01
3	10000	7934	3.32	0.75	0.53	0.41	1.51	52.7	76.2	22.6	...	1977	12249	3022	3497	1495	8068	335341	186202	149139	2000-03-01
4	10000	7922	3.32	0.75	0.52	0.41	1.52	52.6	75.8	22.2	...	2470	10432	3129	3768	1888	8109	335276	173441	161835	2000-04-01
...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...	...
241	10000	7443	2.96	0.58	0.82	0.65	1.34	59.3	85.6	13.1	...	2590	7299	2839	2648	770	8239	287173	167873	119301	2020-01-01
242	10000	7475	2.96	0.58	0.83	0.66	1.33	59.3	85.3	13.4	...	3149	5922	2436	2614	705	7674	271735	157888	113847	2020-02-01
243	10000	7489	2.96	0.57	0.86	0.68	1.32	59.5	85.7	13.3	...	2225	2693	2742	2046	690	8995	292214	170401	121813	2020-03-01
244	10000	7534	2.96	0.58	0.86	0.68	1.33	59.5	85.8	13.2	...	2992	590	1494	1416	751	8603	267922	159426	108497	2020-04-01
245	10000	7430	2.96	0.58	0.85	0.68	1.33	59.6	85.7	12.9	...	2035	798	1703	893	696	9612	252017	156494	95523	2020-05-01
