	Unnamed: 0	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	...	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25
0	第24表　平　成　９　年　度　以　降　一　般　会　計　歳　出　決　算　目　的　別　分　類	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	...	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
1	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	...	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
2	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	...	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	（単位：千円）
3	年　　　度\n目　的　別	NaN	NaN	NaN	平 成 ９ 年 度	10	11	12	13	14	...	21	22	23	24	25	26	27	28	29	30
4	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	...	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
5	１．国 家 機 関 費	NaN	NaN	NaN	4089878933	4280839099	4273674613	4802768587	4845892598	4308629662	...	5074090225	4945147236	4928503182	4369555684	4867349264	4860631635	5061873526	4979956434	4825663205	4807859792
6	NaN	⑴	皇室費	NaN	6686157	6643501	6832632	9366209	7408714	7089358	...	6137774	5491398	6026580	5965628	5774431	6151561	5800414	5351842	6776077	9678519
7	NaN	⑵	国会費	NaN	123019403	131142130	138585747	146463865	154158813	133486528	...	126258243	151426912	135321370	128495174	125668672	132043907	134301666	132560410	133287519	136393763
8	NaN	⑶	選挙費	NaN	3534438	57491037	3258220	73263020	63135863	5853557	...	68788324	52100534	319976	59452810	50432786	56412418	1643113	53738213	59832965	143469
9	NaN	⑷	司法、警察及び消防費	NaN	1319365876	1399227861	1408610493	1453162305	1410079489	1386978225	...	1533909368	1472709759	1597209034	1480602910	1524285156	1502880959	1514804508	1573470081	1560110218	1629272958
10	NaN	⑸	外交費	NaN	831845677	861739833	888920739	865866900	864050579	810000539	...	955076436	879664492	821449422	783527090	850286829	870024473	906512055	924167345	888687574	878467212
11	NaN	⑹	一般行政費	NaN	1054750965	1049312336	1055053630	1471169953	1542488050	1168330494	...	1582842125	1611829588	1574741294	1164515329	1571959844	1502453529	1708495119	1497159393	1383405116	1349839809
12	NaN	⑺	徴税費	NaN	750676414	775282398	772413149	783476331	804571086	796890961	...	785667031	757349796	778969916	732703934	725193651	775835905	775425294	778734855	778866035	789261980
13	NaN	⑻	貨幣製造費	NaN	-	-	-	-	-	-	...	15410921	14574753	14465587	14292805	13747892	14828881	14891355	14774292	14697699	14802080
14	２．地 方 財 政 費	NaN	NaN	NaN	15503917972	14326238212	13105011723	15849461435	16725670735	16500834094	...	16595904253	18809852561	19469488558	16900990748	17575309002	17185775269	16888314210	15421261402	15644801858	16099323993
15	NaN	⑴	地方財政調整費	NaN	15480975000	14304580000	13084335000	15828908673	16705603842	16479108000	...	16573294000	18790321916	19450671876	16884650453	17553472754	17096255371	16800803231	15339274500	15567103800	16025781000
16	NaN	⑵	元利補給	NaN	4788629	3441917	2442715	1616353	54806	-	...	ー	ー	ー	ー	ー	ー	ー	-	-	－
17	NaN	⑶	その他	NaN	18154342	18216295	18234008	18936408	20012086	21726094	...	22610253	19530645	18816682	16340295	21836248	89519898	87510979	81986902	77698058	73542993
18	３．防 衛 関 係 費	NaN	NaN	NaN	4975677697	4982414986	4923268867	4931354728	4993022486	4943816744	...	4831771933	4678220145	4824861715	4770980200	4802875442	5073428675	5141147921	5162012628	5286811260	5487851505
19	４．国土保全及び開発費	NaN	NaN	NaN	9210198515	11052792039	11083969090	10236076779	9272010124	7963231929	...	7562815928	5670372003	6422748987	5761729805	7887098236	7218035719	6387967080	6746035521	6894955678	6971474840
20	NaN	⑴	国土保全費	NaN	1721545393	2048317970	2007032641	1905879142	1681665637	1491943715	...	1710225549	852171805	901936274	843858285	1380337210	1163296905	1005727842	1127020588	1028938132	1091578347
21	NaN	⑵	国土開発費	NaN	6958533832	8356854944	8047536209	7634224452	7073334122	5995343956	...	5577784331	4569619640	4436959937	4017612175	5927713449	5622921120	5005197238	5195409024	5356030795	5248379432
22	NaN	⑶	災害対策費	NaN	391141566	501965174	692223621	545045814	363817506	318527513	...	120307028	109508094	605512540	746503357	446469955	217111910	185728064	249515094	333499401	442550864
23	NaN	⑷	試験研究費	NaN	30959085	24319316	30958173	38933772	33792900	31830630	...	49527978	48424323	51869175	49295376	49462684	55744293	49299430	48318822	49594809	49165936
24	NaN	⑸	その他	NaN	108018637	121334633	306218443	111993598	119399958	125586115	...	104971041	90648139	426471058	104460610	83114936	158961489	142014505	125771991	126892539	139800259
25	５．産 業 経 済 費	NaN	NaN	NaN	3240075324	4910396599	4011527035	4111681798	4026447612	5421252999	...	7643915744	4265026290	6661729113	4827678295	3563750596	3509288639	3368098750	3602752975	3157471367	3309277871
26	NaN	⑴	農林水産業費	NaN	1206587157	1252271517	1221337316	1221359331	1145645814	1144369374	...	1699720167	1577571490	1900064183	1904302947	1693693722	1475251108	1764817172	1561248382	1629895317	1588375531
27	NaN	⑵	商工鉱業費	NaN	1315778918	2296985217	1853123935	1981159488	1485677972	1544218866	...	5365096470	2232635850	4309777520	2529308441	1503287855	1714027146	1312462772	1747455643	1257064799	1444345004
28	NaN	⑶	運輸通信費	NaN	208374214	409892628	301480898	334461890	268274058	241109339	...	465418930	374458521	244926517	221851938	276095747	212621503	201620788	212357991	192966905	199478203
29	NaN	⑷	産業投資特別会計へ繰入	NaN	164913770	541385000	222877952	158560249	664460772	2033555558	...	ー	ー	ー	-	ー	ー	ー	-	-	－
30	NaN	⑸	物資及び物価調整費	NaN	344421263	409862235	412706933	416140838	462388994	457999862	...	113680177	80360428	206960893	172214968	90673272	107388881	89198017	81690957	77544344	77079133
